what,where,why,how,when,text,id
resembling,FakeM C2 traffic,,,,"FakeM C2 traffic attempts to evade detection by resembling data generated by legitimate messenger applications, such as MSN and Yahoo!", T1001 
generated,data,,,,"FakeM C2 traffic attempts to evade detection by resembling data generated by legitimate messenger applications, such as MSN and Yahoo!", T1001 
,,,,,FlawedAmmyy may obfuscate portions of the initial C2 handshake., T1001 
obfuscate,FlawedAmmyy,,,,FlawedAmmyy may obfuscate portions of the initial C2 handshake., T1001 
obfuscates,C2 traffic,,,,H1N1 obfuscates C2 traffic with an altered version of base64., T1001 
controlled,HAMMERTOSS,,via commands appended image files,,HAMMERTOSS is controlled via commands that are appended to image files., T1001 
appended,commands,image files,,,HAMMERTOSS is controlled via commands that are appended to image files., T1001 
image,files,,,,HAMMERTOSS is controlled via commands that are appended to image files., T1001 
utilized,Zlib compression,obfuscate communications payload,,,HOPLIGHT has utilized Zlib compression to obfuscate the communications payload., T1001 
obfuscate,communications payload,,,,HOPLIGHT has utilized Zlib compression to obfuscate the communications payload., T1001 
uses,custom Base64 encoding schemes,obfuscate command control traffic message body HTTP requests,,,Ixeshe uses custom Base64 encoding schemes to obfuscate command and control traffic in the message body of HTTP requests., T1001 
Base64,encoding,,,,Ixeshe uses custom Base64 encoding schemes to obfuscate command and control traffic in the message body of HTTP requests., T1001 
,,,,,Ixeshe uses custom Base64 encoding schemes to obfuscate command and control traffic in the message body of HTTP requests., T1001 
obfuscate,command control traffic,,,,Ixeshe uses custom Base64 encoding schemes to obfuscate command and control traffic in the message body of HTTP requests., T1001 
controlled,LightNeuron,,via commands embedded PDFs JPGs using steganographic methods,,LightNeuron is controlled via commands that are embedded into PDFs and JPGs using steganographic methods., T1001 
embedded,commands,,using steganographic methods,,LightNeuron is controlled via commands that are embedded into PDFs and JPGs using steganographic methods., T1001 
using,steganographic methods,,,,LightNeuron is controlled via commands that are embedded into PDFs and JPGs using steganographic methods., T1001 
added,junk data,outgoing UDP packets peer implants,,,P2P ZeuS added junk data to outgoing UDP packets to peer implants., T1001 
peer,implants,,,,P2P ZeuS added junk data to outgoing UDP packets to peer implants., T1001 
encodes,QUADAGENT,,,,QUADAGENT encodes C2 communications with base64., T1001 
encodes,RogueRobin base64,,,,RogueRobin base64 encodes strings that are sent to the C2 over its DNS tunnel., T1001 
sent,strings,C2,,,RogueRobin base64 encodes strings that are sent to the C2 over its DNS tunnel., T1001 
retrieved,stage 2 payloads,,,,ZeroT has retrieved stage 2 payloads as Bitmap images that use Least Significant Bit   steganography., T1001 
use,Bitmap images,,,,ZeroT has retrieved stage 2 payloads as Bitmap images that use Least Significant Bit   steganography., T1001 
,,,,,ADVSTORESHELL stores output from command execution in a   file in the %TEMP% directory., T1074 
stored,captured credential information,,,,APT28 has stored captured credential information in a file named pi ., T1074 
captured,credential information,,,,APT28 has stored captured credential information in a file named pi ., T1074 
named,file,,,,APT28 has stored captured credential information in a file named pi ., T1074 
known,APT3,,,,APT3 has been known to stage files for exfiltration in a single location., T1074 
stage,files exfiltration single location,,,,APT3 has been known to stage files for exfiltration in a single location., T1074 
collects,data,,,,Astaroth collects data in a plaintext file named r1  before exfiltration., T1074 
named,plaintext file,,,,Astaroth collects data in a plaintext file named r1  before exfiltration., T1074 
found,documents 15 MB,,,,BADNEWS copies documents under 15MB found on the victim system to is the user's directory, T1074 
copies,files USB devices,predefined directory,,,It also copies files from USB devices to a predefined directory., T1074 
collected,data,,,,BadPatch stores collected data in log files before exfiltration., T1074 
uses,hidden directory named isto,store data victim?õ????s machine exfiltration,,,Calisto uses a hidden directory named  isto to store data from the victim?õ????s machine before exfiltration., T1074 
hidden,directory,,,,Calisto uses a hidden directory named  isto to store data from the victim?õ????s machine before exfiltration., T1074 
named,hidden directory,,,,Calisto uses a hidden directory named  isto to store data from the victim?õ????s machine before exfiltration., T1074 
store,data victim?õ????s machine,,,,Calisto uses a hidden directory named  isto to store data from the victim?õ????s machine before exfiltration., T1074 
creates,base directory contains files folders collected,,,,Carbon creates a base directory that contains the files and folders that are collected., T1074 
contains,files folders collected,,,,Carbon creates a base directory that contains the files and folders that are collected., T1074 
collected,files folders,,,,Carbon creates a base directory that contains the files and folders that are collected., T1074 
stores,gathered data machine,,,,Catchamas stores the gathered data from the machine in .db files and   files under four separate locations., T1074 
gathered,data,,,,Catchamas stores the gathered data from the machine in .db files and   files under four separate locations., T1074 
created,"directory named "" """,,,,"Dragonfly 2.0 created a directory named ""out"" in the user's %AppData% folder and copied files to it.", T1074 
named,directory,,,,"Dragonfly 2.0 created a directory named ""out"" in the user's %AppData% folder and copied files to it.", T1074 
copied,files,,,,"Dragonfly 2.0 created a directory named ""out"" in the user's %AppData% folder and copied files to it.", T1074 
pushed,Modules,,,,"Modules can be pushed to and executed by Duqu that copy data to a staging area, compress it, and XOR encrypt it.", T1074 
